trip,item,value_used,flag,source_url,access_date,note
Egypt,Red Sea Diving Safari (Marsa Shagra),"Low season indicative, per person, Royal Tent double full board: EUR 78/night; house reef 5-day package 347 (+69 6th day); OW incl. equipment 358 + e-code 94; AOW 286 (242 own gear); Elphinstone 36/dive; Abu Dabbab or Dolphin House 48/trip + park 19; environmental 10 once; hyperbaric 7 once; transfers pp one way Hurghada 41 (10–20 pax) / 33 (21–30), Marsa Alam 22 / 17; free place for the 11th, 21st and 30th paying guest (accommodation + diving + transfer)",2026-09-24,QUOTED,"email 08:34 UTC, thread 1a0ca71a4aee743e",
Thanksgiving,Paradise Scuba,"Tax 11.5%; opens Thanksgiving Day for the group; night dive USD 140 pp single tank incl. lights (+25 rental); Sunset Bio Bay Cruise USD 85 pp; 15% group discount and free leader apply to both; one invoice; 30-day refund covers individual drop-outs",2026-09-24,QUOTED,"email 13:33 UTC, thread 1a0ca716dc6c7ebd",
Egypt,Blue Ocean (Abu Dabbab Lodge),"Per room per night full board: basic double EUR 110 / triple 152, renovated double 145 / triple 205; house reef package 240 pp (5 days, 2 dives/day); daily boat +60; Elphinstone +65 (AOW, 50 dives); OW 370 with eLearning done; every 11th paid guest free (cheapest package), plus 7–10% discount; transfers return pp Hurghada 60 / Marsa Alam 35; deposit 30% early December, balance on the spot",2026-09-24,QUOTED,"email 14:23 UTC, thread 1a0ca7212c991ce4",
Cozumel,Blue Note Scuba,"Taxes included in the 400/240/600; rental full set (BCD, reg, mask, fins, wetsuit), computer included on courses and USD 10/day on regular rentals; PADI processing inside the eLearning; one boat blocked for Dec 14–18, deposit taken when members have paid; bank transfer against invoice, card fee small; hotel tiers being checked",2026-09-24,QUOTED,"email 16:29 UTC, thread 1a0ca55e7f19ae79",
Cozumel,Dive Paradise,"Triple rate same as double (522 pp six nights); reservation can be created now and modified; Visiting Instructor Program available; confined water in a protected waterfront",2026-09-24,QUOTED,"email 16:07 UTC, thread 1a0cfaa9b7e1a215; closed 24 Sep",
Cozumel,Sand Dollar Sports,"Morning boats available all five days Dec 14–18",2026-09-24,QUOTED,"email 18:01 UTC, thread 1a0ca5674e6c857a",
Thanksgiving,Paradise Scuba,"No third dive the same afternoon (air only, nitrogen loading); itinerary Thu AM, Fri AM + night dive, Sat AM + Sunset Bio Bay Cruise; enough gear for 12; group rate and free leader apply to all",2026-09-24,QUOTED,"email 17:57 UTC, thread 1a0ca716dc6c7ebd",
Cozumel,Blue Note Scuba,"Two boats blocked (14 + 10 pax) for Dec 14–18; alternating am/pm boats agreed, afternoon best for new divers; shore dive at Tikila USD 60 incl. gear; DAN Business Member, OW students covered during the course, price for everyone else being checked",2026-09-24,QUOTED,"emails 19:01 and 19:02 UTC, thread 1a0ca55e7f19ae79",
Cozumel,Sand Dollar Sports,"Rental full set USD 20/day for the group (list 25), single items 5; Casa del Mar visit 25 Sep for 10–20 rooms, no commission taken",2026-09-24,QUOTED,"email 19:58 UTC, thread 1a0ca5674e6c857a",
Cozumel,Casa Mexicana group,"Per room per night incl. 16% VAT + 5% lodging tax (DSA MXN 82/room/night extra): Casa Mexicana City View 107.25 dbl / 129.30 tpl with buffet breakfast, Ocean View 174.65 / 196.70; Casa Colonial studio 62.77 / 80.77, suite 72.96 / 90.96 (breakfast to go); Casa Bahía 117.61–185.97 (no meals); 1 free room night per 10 paid; leader upgrade; deposit 50%, balance 15 days out; cancel 20+ days free, under 20 days 50%",2026-09-24,QUOTED (for 8–14 Dec; re-quote for 13–19 asked),"email 22:58 UTC, thread 1a0ca560b2f3f88a",
Thanksgiving,Paradise Scuba,"Wall seas rough after about 10:00, boats back by 10:15; reef dives depart 08:00, single-tank reef dive USD 130 with gear; inland reefs (Enrique, Turrumote, Media Luna) poor vis, ocean reefs preferred; Wall cancelled above 25 kt; later departure being checked with Kiko",2026-09-24,QUOTED,"email 21:21 UTC, thread 1a0ca716dc6c7ebd",
